Auth. Code,Tax Type,Start Date,End Date,Coterm. Valid,Reg. Valid,Supp. Valid,Vac. Valid,Cum. Valid,Daily Factor,Additional Tax,Tax Disposition,Mandatory,PSR Proc. Flag,EIC Cert
10524,51,20060401,0,0,1,2,2,2,0,0,0,1,1,0
10525,51,20060401,0,0,1,2,2,2,0,0,0,1,1,0
10526,51,20051001,0,0,1,2,2,2,0,0,0,1,1,0
10527,51,19960101,0,0,1,2,2,2,0,0,0,1,1,0
10528,51,19980801,0,0,1,2,2,2,0,0,0,1,1,0
10529,51,19980101,0,0,1,2,2,2,0,0,0,1,1,0
10530,51,19701201,0,0,1,2,2,2,0,0,0,1,1,0
10531,51,20081201,0,0,1,2,2,2,0,0,0,1,0,0
10532,51,20081201,0,0,1,2,2,2,0,0,0,1,0,0
10533,51,20101001,0,0,1,2,2,2,0,0,0,1,0,0
10534,51,20120301,0,0,1,2,2,2,0,0,0,1,0,0
10535,51,20180801,0,0,1,2,2,2,0,0,0,1,0,0
20000,10,20200101,0,0,1,2,2,2,0,1,1,1,0,0
20000,20,20200101,0,9,1,2,2,2,0,1,1,1,0,0
20000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
20000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
20000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
20000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
20000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
20000,507,20121002,0,0,1,2,2,2,0,1,0,1,0,0
20000,508,20030101,0,0,1,2,2,2,0,1,0,1,0,0
20000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
20000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
20000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
20000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
20000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
20000,516,20030102,0,0,1,2,2,2,0,1,0,1,1,0
20000,517,20121001,0,0,1,2,2,2,0,1,0,1,0,0
20000,518,20121001,0,0,1,2,2,2,0,1,0,1,1,0
20000,519,20030101,0,0,1,2,2,2,0,1,0,1,0,0
20000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
20000,600,20130102,0,0,1,2,2,2,0,1,0,1,0,0
40000,1,20130101,0,0,1,1,1,1,0,0,0,1,0,0
40000,10,20130101,0,0,1,2,2,2,0,1,1,1,0,0
40000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
40000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
40000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
40000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
40000,70,20110101,0,0,1,1,1,0,0,0,0,0,0,0
40000,89,20130101,0,0,1,2,2,2,0,1,1,1,0,0
40000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
40000,504,20200101,0,0,1,2,2,2,0,1,0,1,0,0
40000,507,20090724,0,0,1,2,2,2,0,1,0,1,0,0
40000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
40000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
40000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
40000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
40000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
40000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
40000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
40000,519,20060101,0,0,1,2,2,2,0,1,0,1,0,0
40000,521,20030101,0,0,1,2,2,2,0,1,0,1,1,0
40000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
40000,600,20030102,0,0,1,2,2,2,0,1,0,1,0,0
50000,1,20200301,0,0,1,1,1,1,0,0,0,1,0,0
50000,10,20200101,0,0,1,2,2,2,0,1,1,1,0,0
50000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
50000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
50000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
50000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
50000,70,20200301,0,0,1,1,1,0,0,0,0,0,0,0
50000,71,20060101,0,0,1,1,0,0,0,0,0,0,1,0
50000,72,20060101,0,0,1,1,0,0,0,0,0,0,1,0
50000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
50000,504,20090724,0,0,1,2,2,2,0,1,0,1,0,0
50000,507,20090724,0,0,1,2,2,2,0,1,0,1,0,0
50000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
50000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
50000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
50000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
50000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
50000,515,20030101,0,0,1,2,2,2,0,1,0,1,1,0
50000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
50000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
50000,519,20030101,0,0,1,2,2,2,0,1,0,1,0,0
50000,521,20030101,0,0,1,2,2,2,0,1,0,1,1,0
50000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
50000,600,20060102,0,0,1,2,2,2,0,1,0,1,0,0
50001,1,20000101,0,0,1,1,1,0,0,0,0,0,1,0
60000,1,20200101,0,0,1,1,1,0,0,0,0,1,0,0
60000,10,20130102,0,0,1,2,2,2,0,1,1,1,0,0
60000,16,20130102,0,0,1,2,2,2,0,1,1,1,0,0
60000,41,20200102,0,9,1,2,2,2,0,1,1,1,0,0
60000,48,20200102,0,9,1,2,2,2,0,1,1,1,0,0
60000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
60000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
60000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
60000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
60000,70,20200101,0,0,1,1,0,0,0,0,0,0,0,0
60000,71,20200101,0,0,1,1,0,0,0,0,0,0,0,0
60000,72,20200101,0,0,1,1,0,0,0,0,0,0,0,0
60000,77,20200102,0,0,1,2,2,2,0,1,1,1,0,0
60000,81,20200102,0,0,1,2,2,2,0,1,1,1,0,0
60000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
60000,504,20130703,0,0,1,2,2,2,0,1,0,1,0,0
60000,507,20200101,0,0,1,2,2,2,0,1,0,1,0,0
60000,508,20130701,0,0,1,2,2,2,0,1,0,1,1,0
60000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
60000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
60000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
60000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
60000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
60000,515,20030101,0,0,1,2,2,2,0,1,0,1,0,0
60000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
60000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
60000,519,20050101,0,0,1,2,2,2,0,1,0,1,0,0
60000,520,20160101,0,0,1,2,2,2,0,1,0,1,1,0
60000,521,20140701,0,0,1,2,2,2,0,1,0,1,1,0
60000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
60000,600,20030102,0,0,1,2,2,2,0,1,0,1,0,0
60001,19,20180101,0,0,1,2,2,2,0,0,0,1,1,0
70000,1,20200101,0,0,1,1,1,1,0,4,0,1,1,0
70000,79,20110318,0,0,1,1,1,0,0,0,0,1,1,0
70000,502,20030101,0,0,1,2,2,2,0,1,0,1,1,0
70000,507,20090724,0,0,1,2,2,2,0,1,0,1,1,0
70000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
70000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
70000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
70000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
70000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
70000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
70000,517,20100101,0,0,1,2,2,2,0,1,0,1,1,0
70000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
70000,600,20060102,0,0,1,2,2,2,0,1,0,1,1,0
80000,1,20200101,0,0,1,1,1,1,0,0,0,1,0,0
80000,10,20200101,0,0,1,2,2,2,0,1,1,1,0,0
80000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
80000,63,20130101,0,9,1,2,2,2,0,0,1,1,7,0
80000,68,20100101,0,9,1,2,2,2,0,0,1,1,8,0
80000,70,20200101,0,0,1,1,0,0,0,0,0,0,0,0
80000,71,20200101,0,0,1,1,0,0,0,0,0,0,0,0
80000,72,20200101,0,0,1,1,0,0,0,0,0,0,0,0
80000,78,20200101,0,0,1,2,2,2,0,1,1,1,0,0
80000,82,20200101,0,0,1,2,2,2,0,1,1,1,0,0
80000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
80000,504,20130102,0,0,1,2,2,2,0,1,0,1,0,0
80000,507,20200101,0,0,1,2,2,2,0,1,0,1,0,0
80000,508,20190101,0,0,1,2,2,2,0,1,0,1,1,0
80000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
80000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
80000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
80000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
80000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
80000,515,20090724,0,0,1,2,2,2,0,1,0,1,1,0
80000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
80000,517,20130101,0,0,1,2,2,2,0,1,0,1,0,0
80000,519,20060101,0,0,1,2,2,2,0,1,0,1,0,0
80000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
80000,531,20200101,0,0,1,2,2,2,0,1,0,1,1,0
80000,600,20060102,0,0,1,2,2,2,0,1,0,1,0,0
80080,51,19881101,0,0,1,2,2,2,0,1,1,1,1,0
80080,54,19950101,0,0,1,2,2,2,0,1,1,1,1,0
80085,51,19800101,0,0,1,2,2,2,0,1,1,1,1,0
80085,54,19950101,0,0,1,2,2,2,0,1,1,1,1,0
80094,51,19860801,0,0,1,2,2,2,0,1,1,1,1,0
80094,54,19950101,0,0,1,2,2,2,0,1,1,1,1,0
80095,51,20040101,0,0,1,2,2,2,0,1,1,1,1,0
80095,54,20040101,0,0,1,2,2,2,0,1,1,1,1,0
80103,51,20040101,0,0,1,2,2,2,0,1,1,1,1,0
80103,54,20040101,0,0,1,2,2,2,0,1,1,1,1,0
80104,51,19860801,0,0,1,2,2,2,0,1,1,1,1,0
80104,54,19950101,0,0,1,2,2,2,0,1,1,1,1,0
80105,51,19860801,0,0,1,2,2,2,0,1,1,1,1,0
80105,54,19950101,0,0,1,2,2,2,0,1,1,1,1,0
90000,1,20160102,0,0,1,1,1,0,0,0,0,1,0,0
90000,10,20200101,0,0,1,2,2,2,0,1,1,1,0,0
90000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
90000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
90000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
90000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
90000,70,20180101,0,0,1,1,1,0,0,0,0,1,0,0
90000,71,20180101,0,0,1,0,0,0,0,0,0,0,1,0
90000,72,20180101,0,0,1,0,0,0,0,0,0,0,1,0
90000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
90000,504,20191001,0,0,1,2,2,2,0,1,0,1,0,0
90000,507,20191001,0,0,1,2,2,2,0,1,0,1,0,0
90000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
90000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
90000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
90000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
90000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
90000,515,20120101,0,0,1,2,2,2,0,1,0,1,1,0
90000,516,20030101,0,0,1,2,2,2,0,1,0,1,0,0
90000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
90000,528,20130102,0,0,1,2,2,2,0,1,0,1,1,0
90000,600,20030103,0,0,1,2,2,2,0,1,0,1,0,0
100000,1,20200101,0,0,1,1,1,1,0,0,0,1,0,0
100000,10,20200101,0,0,1,2,2,2,0,1,1,1,0,0
100000,16,20180101,0,0,1,2,2,2,0,1,1,1,0,0
100000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
100000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
100000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
100000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
100000,70,20200101,0,0,1,1,0,0,0,0,0,0,0,0
100000,71,20200101,0,0,1,1,0,0,0,0,0,0,0,0
100000,72,20200101,0,0,1,1,0,0,0,0,0,0,0,0
100000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
100000,504,20030102,0,0,1,2,2,2,0,1,0,1,0,0
100000,507,20191001,0,0,1,2,2,2,0,1,0,1,0,0
100000,508,20030101,0,0,1,2,2,2,0,1,0,1,1,0
100000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
